created_at,entry_id,field1
2018-10-08 09:50:02 UTC,1,0
2018-10-08 09:50:26 UTC,2,0
2018-10-08 09:50:50 UTC,3,0
2018-10-08 09:51:14 UTC,4,0
2018-10-08 09:51:39 UTC,5,0
2018-10-08 09:52:03 UTC,6,0
2018-10-08 09:52:27 UTC,7,64
2018-10-08 09:52:51 UTC,8,64
2018-10-08 09:53:15 UTC,9,67
2018-10-08 09:53:39 UTC,10,65
2018-10-08 09:54:04 UTC,11,64
2018-10-08 09:54:33 UTC,12,63
2018-10-08 09:55:01 UTC,13,60
2018-10-08 09:55:30 UTC,14,1
2018-10-08 09:55:58 UTC,15,1
2018-10-08 09:56:26 UTC,16,1
2018-10-08 09:56:55 UTC,17,69
2018-10-08 09:57:23 UTC,18,59
2018-10-08 09:57:51 UTC,19,58
2018-10-08 09:58:19 UTC,20,58
2018-10-08 09:58:40 UTC,21,66
2018-10-08 09:59:20 UTC,22,63
2018-10-08 09:59:59 UTC,23,61
2018-10-08 10:00:23 UTC,24,1
2018-10-08 10:00:47 UTC,25,1
2018-10-08 10:01:11 UTC,26,1
2018-10-08 10:01:35 UTC,27,1
2018-10-08 10:01:59 UTC,28,1
2018-10-08 10:02:24 UTC,29,63
2018-10-08 10:02:48 UTC,30,46
2018-10-08 10:03:12 UTC,31,47
2018-10-08 10:03:36 UTC,32,49
2018-10-08 10:04:00 UTC,33,51
2018-10-08 10:04:25 UTC,34,36
2018-10-08 14:24:51 UTC,35,0
2018-10-08 14:25:15 UTC,36,0
2018-10-08 14:25:39 UTC,37,0
2018-10-08 14:26:03 UTC,38,0
2018-10-08 14:26:28 UTC,39,0
2018-10-08 14:26:52 UTC,40,0
2018-10-08 14:27:16 UTC,41,0
2018-10-08 14:27:40 UTC,42,0
2018-10-08 14:28:04 UTC,43,0
2018-10-08 14:28:28 UTC,44,43
2018-10-08 14:28:53 UTC,45,40
2018-10-08 14:29:17 UTC,46,39
2018-10-08 14:29:41 UTC,47,39
2018-10-08 14:30:05 UTC,48,38
2018-10-08 14:30:29 UTC,49,38
2018-10-08 14:30:53 UTC,50,38
2018-10-08 14:31:17 UTC,51,38
2018-10-08 14:31:42 UTC,52,38
2018-10-08 14:32:06 UTC,53,38
2018-10-08 14:32:30 UTC,54,69
2018-10-08 14:32:54 UTC,55,65
2018-10-08 14:33:18 UTC,56,65
2018-10-08 14:33:42 UTC,57,64
2018-10-08 14:34:07 UTC,58,64
2018-10-08 14:34:31 UTC,59,64
2018-10-08 14:34:55 UTC,60,62
2018-10-08 14:35:19 UTC,61,62
2018-10-08 14:35:43 UTC,62,61
2018-10-08 14:36:08 UTC,63,61
2018-10-08 14:36:32 UTC,64,57
2018-10-08 14:36:56 UTC,65,57
2018-10-08 14:37:20 UTC,66,57
2018-10-08 14:37:44 UTC,67,57
2018-10-08 14:38:08 UTC,68,56
2018-10-08 14:38:32 UTC,69,56
2018-10-08 14:38:56 UTC,70,31
2018-10-08 14:39:21 UTC,71,30
2018-10-10 17:40:46 UTC,72,1
2018-10-10 17:41:11 UTC,73,1
2018-10-10 17:41:35 UTC,74,1
2018-10-10 17:41:59 UTC,75,1
2018-10-10 17:42:23 UTC,76,1
2018-10-10 17:42:47 UTC,77,7
2018-10-10 17:43:11 UTC,78,47
2018-10-10 17:43:35 UTC,79,53
2018-10-10 17:43:59 UTC,80,10
2018-10-10 17:44:24 UTC,81,52
